lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
OLYG1,Austell,33.836111111111,-84.631666666667,0.19,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
SHPG1,Sharpsburg,33.389166666667,-84.623333333333,0.1,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
AUSG1,Austell,33.776388888889,-84.615555555556,0.23,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
HCCG1,Lumpkin,32.0511111111111,-84.7763888888889,0.44,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
MANT1,Manchester,35.471111111111,-86.083055555556,0.06,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
PSKT1,Pulaski TVA,35.188888888889,-87.031666666667,0.06,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
SHLG1,Griffin,33.257222222222,-84.3625,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
MUCG1,Americus,32.083055555556,-84.258055555556,0.09,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
SEWT1,Sewanee TVA,35.1969444444444,-85.9180555555556,0.05,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
CALG1,Calhoun,34.518888888889,-84.954444444444,0.14,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
