lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
HOPW2,BLUE BEND,37.925556,-80.265556,0.04,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
FYGV2,FANCY GAP IFLOWS,36.668055555556,-80.691388888889,0.16,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:15:00Z,9999,9999,9999,None
DONG1,Dawsonville,34.425555555556,-84.211944444444,0.4,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
BCDN7,BEAR CREEK DAM,35.241388888889,-83.072777777778,0.24,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
AVL,ASHEVILLE REG AP,35.431944444444,-82.5375,1.13,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
WKHV2,WALKER HOUSE IFLOWS,36.836111111111,-81.578611111111,0.12,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
MTCS1,MT CARMEL 5 N,34.071388888889,-82.500833333333,0.17,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
LTSN7,LITTLE SWITZERLAND,35.861666666667,-82.105555555556,0.28,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:20:00Z,9999,9999,9999,None
RSTV2,ROANOKE R AT STP IFLOWS,37.266944444444,-79.910833333333,0.12,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
STVV2,SALTVILLE PRECIP (TVA),36.887222,-81.7675,0.02,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
ADNV2,ADNEY GAP IFLOWS,37.1125,-80.125,0.16,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
HDSN7,HIGHLANDS DCP,35.070277777778,-83.216666666667,1.33,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
PBCV2,POUND RIVER BELOW COLD CAMP CREEK NEAR POUND,37.121944444444,-82.598611111111,0.46,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1504266100000,9999,9999,None
NTYG1,Nottely Dam Automated Rain Gage,34.9608333333333,-84.0869444444444,0.84,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
MANT1,Manchester,35.471111111111,-86.083055555556,0.12,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
DECT1,DECATUR,35.5222,-84.7964,1.32,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594274300000,9999,9999,None
ACST1,Ashland City,36.32,-87.051111111111,0.24,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CUXA1,Cullman Ag Station,34.19555,-86.79638,0.26,PP,RG,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
SMFV2,MF HOLSTON R. AT SEVEN MILE FORD IFLW/USGS,36.807222222222,-81.622222222222,0.24,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BRFN7,#26 BRADFORD AIRFIELD,35.409166666667,-80.793888888889,0.01,PC,RR,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:50:00Z,9999,9999,9999,None
WLFN7,WOLF MOUNTAIN,35.0352777777778,-84.2836111111111,1.19,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:50:00Z,1596234900000,9999,9999,None
GMU,GREENVILLE DNTOWN APRT,34.848055555556,-82.35,0.18,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
BTHV2,BETHEL IFLOWS,36.6894444444444,-81.2705555555556,0.47,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
IDAN7,#52 MOUNT HOLLY,35.298055555556,-81.021388888889,0.11,PC,RR,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:50:00Z,9999,9999,9999,None
EBVT1,Embreeville near Telford,36.1822222222222,-82.4563888888889,0.12,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1585237700000,9999,9999,None
PICT1,TENNESSEE RIVER AT PICKWICK DAM,35.063888888889,-88.249722222222,0.12,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
BBKT1,BURBANK TN,36.148333333333,-82.101388888889,0.05,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1580229500000,9999,9999,None
NCCT1,Mile Straight,35.2111111,-85.215278,0.09,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594252300000,9999,9999,None
ALRW2,ALDERSON IFLOWS,37.727777777778,-80.646666666667,0.16,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
ONIT1,ONEIDA,36.5,-84.5166666666667,0.07,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1557252900000,9999,9999,None
EKVN7,ELK CREEK DCP,36.0711111111111,-81.4036111111111,0.45,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
NEWT1,NEWCOMB,36.544444444444,-84.173055555556,0.03,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1554262590000,9999,9999,None
LTYN7,LAKE TOXAWAY,35.124166666667,-82.9075,1.39,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
RUXA1,Russellville Airport,34.453611,-87.909444,0.3,PP,RG,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
DELT1,DEL RIO,35.886666666667,-82.974444444444,0.15,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1582234221000,9999,9999,None
