lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
MNYT1,Monterey,36.1425,-85.270833333333,0.38,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:30:00Z,9999,9999,9999,None
GGRT1,GREAT FALLS DAM,35.806944444444,-85.636111111111,0.13,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
MPYN7,MURPHY,35.077777777778,-84.028333333333,0.95,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1595291100000,9999,9999,None
BSRV2,BLUESTONE IFLOWS,37.218055555556,-81.347222222222,0.16,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
LAAV2,LAFAYETTE SG/IFLOWS,37.236388888889,-80.209444444444,0.08,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
EFKN7,EAST FORK DAM TANASEE CK,35.213333333333,-83.002222222222,0.01,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
MBLN7,MARBLE,35.1883333333333,-83.9186111111111,0.12,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1595284000000,9999,9999,None
BOOT1,BOONE DAM - JOHNSON CITY,36.4411,-82.436388,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1579219900000,9999,9999,None
SLLT1,RED BOILING SPRINGS,36.552222222222,-85.857222222222,0.07,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
COHT1,CORDELL HULL HEADWATER,36.291666666667,-85.938888888889,0.06,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
WAMV2,WARM SPRINGS MTN IFLOWS,37.871388888889,-79.888055555556,0.16,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
ELLN7,ELLENDALE 3 NE,35.945555555556,-81.236944444444,0.58,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CTNN7,CANTON,35.548333333333,-82.828888888889,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
UNVT1,Unionville,35.6211111111111,-86.5863888888889,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
ALRW2,ALDERSON IFLOWS,37.727777777778,-80.646666666667,0.16,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
FTBV2,CLINCH RIVER AT FORT BLACKMORE,36.766111111111,-82.5825,0.12,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1590255900000,9999,9999,None
GSP,GSP AIRPORT,34.898888888889,-82.213888888889,0.08,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
CEPN7,E FK PIGEON RVR,35.461666666667,-82.870277777778,0.43,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
SAMN7,SAMS GAP,35.954444444444,-82.561666666667,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
LWB,LEWISBURG AWOS,37.858333333333,-80.399722222222,0.24,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
SUPW2,WHITE SULFUR SPGS DCP,37.798333,-80.478333,0.26,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
ABDV2,ABINGDON,36.685833333333,-81.983333333333,0.11,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1579258900000,9999,9999,None
PMTV2,BIG STONE GAP,36.85,-82.65,0.28,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:30:00Z,1590256410000,9999,9999,None
VJI,VA HIGHLANDS AIRPORT,36.6869444444444,-82.0336111111111,0.16,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,1579256100000,9999,9999,None
PTST1,PETROS,36.1,-84.45,0.71,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1593229100000,9999,9999,None
CHHT1,CHURCH HILL,36.521111111111,-82.7375,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:45:00Z,1581295900000,9999,9999,None
HOTN7,BARNARD,35.883333333333,-82.74,0.04,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
NOTV2,NORTH MTN IFLOWS,37.845555555556,-79.606111111111,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
SNCV2,STONE CREEK AT PENNINGTON GAP,36.773888888889,-83.0325,0.08,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1591285900000,9999,9999,None
GTTT1,GATLINBURG,35.713611,-83.5125,0.1,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1584264710000,9999,9999,None
DYNT1,DAYTON,35.496666666667,-85.016111111111,1.58,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594272210000,9999,9999,None
STVV2,SALTVILLE PRECIP (TVA),36.887222,-81.7675,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
DURS1,FOUNTAIN INN 2 NE,34.7125,-82.161666666667,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
SMFV2,MF HOLSTON R. AT SEVEN MILE FORD IFLW/USGS,36.807222222222,-81.622222222222,0.24,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
JNCT1,GAINESBORO,36.433888888889,-85.672222222222,0.13,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
NEWT1,NEWCOMB,36.544444444444,-84.173055555556,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1554262590000,9999,9999,None
PTGV2,PISTOL GAP VA,37.1333333333333,-81.9333333333333,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1504246290000,9999,9999,None
LOZ,London,37.083333,-84.066667,0.15,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
STWT1,STONEWALL,36.19,-85.904722222222,0.54,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
TFLG1,TALLULAH FALLS PWR HOUSE,34.731944444444,-83.375833333333,0.07,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
BTDN7,BEETREE DAM,35.6425,-82.399722222222,0.08,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
