lid,lat,lon,name,cwa,elev,obtype
TLLHM,35.38,-86.22,Tullahoma,FFC,0,Mesonet
TLLK2,37.55,-83.6,Tallega,JKL,650,DCP
TLNG1,34.667,-84.928,Tilton,FFC,622.3,DCP
TLPG1,33.741,-85.336,Tallapoosa,FFC,0,Mesonet
TLPT1,35.384,-84.323,TELLICO PLAINS,MRX,0,DCP
TLRN7,35.922,-81.172,TAYLORSVILLE COOP,GSP,1320,Mesonet
TLRT1,35.362,-84.279,TELLICO RIVER NEAR TELLICO PLAINS,MRX,0,Mesonet
TLUG1,34.739,-83.396,TALLULAH FALLS DAM,GSP,1500,DCP
TMFT1,35.2,--86.283,ELF RIVER AT TIMS FORD DAM,HUN,0,DCP
TMSG1,32.839,-84.424,Thomaston,FFC,490,DCP
TMVN7,35.139,-83.981,TOMOTLA,NC,MRX,UNKNOWN
TNB,36.2,-81.65,BOONE WATAUGA COUNTY AIRPORT,GSP,959,ASOS/AWOS
TNCA1,34.661,-87.405,Town Creek,HUN,0,DCP
TNCG1,33.923,-84.304,Dunwoody,FFC,924,DCP
TNFK01,35.142,-86.187,Belvidere (Winchester 5.4 SW),HUN,0,Mesonet
TNFK02,35.052,-86.26,Huntland (Huntland 0.6 ESE),HUN,0,Mesonet
TNFK03,35.196,-86.176,Winchester 4 W (Winchester 3.9 W),HUN,0,Mesonet
TNFK05,35.236,-86.185,Winchester Springs (Winchester 5.4 NW),HUN,0,Mesonet
TNFK06,35.184,-86.136,Winchester Dry Creek (Winchester 1.6 W),HUN,0,Mesonet
TNFK07,35.267,-86.128,Estill Springs (Estill Springs 0.2 NE),HUN,0,Mesonet
TNFK08,35.068,-86.274,Brown Mill (Huntland 0.9 NNW),HUN,0,Mesonet
TNFK09,35.164,-86.146,3 SW Winchester (Winchester 2.7 SW),HUN,0,Mesonet
TNFK10,35.277,-86.013,6 N Decherd (Decherd 6.3 NE),HUN,0,Mesonet
TNFK11,35.147,-85.875,5 SE Sewanee (Sewanee 4.6 SE),HUN,0,Mesonet
TNFK12,35.33,-86.221,South Tullahoma (Tullahoma 2.8 S),HUN,0,Mesonet
TNFK13,35.159,-86.107,2 S Winchester (Winchester 2.0 S),HUN,0,Mesonet
TNLC01,35.152,-86.567,Fayetteville Downtown (Fayetteville 0.2 NW),HUN,0,Mesonet
TNLC02,35.232,-86.606,Howell (Fayetteville 6.1 NNW),HUN,811,Mesonet
TNLC03,35.109,-86.654,Molino (Fayetteville 5.8 WSW),HUN,760,Mesonet
TNLC04,35.023,-86.556,South Lincoln Co. (Fayetteville 8.8 S),HUN,0,Mesonet
TNLC05,35.163,-86.668,Harms (Fayetteville 5.9 W),HUN,820,Mesonet
TNLC06,35.203,-86.778,Taylortown (Fayetteville 7.9 WNW),HUN,0,Mesonet
TNLC07,35.029,-86.597,Belleview 2 SW (Fayetteville 8.6 SSW),HUN,0,Mesonet
TNLC08,35.042,-86.591,Belleview (Fayetteville 7.6 S),HUN,0,Mesonet
