lid,lat,lon,temp,validtime
VPC,34.1230555555556,-84.8486111111111,80,2018-06-05 22:00:00
CSV,35.954166666667,-85.0825,77,2018-06-05 22:00:00
DAN,36.5727777777778,-79.3361111111111,79,2018-06-05 22:00:00
FFC,33.35,-84.5666666666667,77,2018-06-05 22:00:00
AHN,33.948055555556,-83.3275,78,2018-06-05 22:00:00
ABY,31.5377777777778,-84.1938888888889,83,2018-06-05 22:00:00
LOZ,37.083333,-84.066667,80,2018-06-05 22:00:00
MSL,34.75,-87.6166666666667,85,2018-06-05 22:00:00
PDK,33.875,-84.3022222222222,78,2018-06-05 22:00:00
DCU,34.6525,-86.9452777777778,83,2018-06-05 22:00:00
HKY,35.741111111111,-81.389444444444,79,2018-06-05 22:00:00
RMG,34.35,-85.1666666666667,82,2018-06-05 22:00:00
CHA,35.0247222222222,-85.2033333333333,84,2018-06-05 22:00:00
UZA,34.986944444444,-81.0575,82,2018-06-05 22:00:00
AVL,35.431944444444,-82.5375,79,2018-06-05 22:00:00
LYH,37.324722,-79.215833,81,2018-06-05 22:00:00
GRD,34.249444444444,-82.158333333333,79,2018-06-05 22:00:00
CMD,34.27,-86.8583333333333,82,2018-06-05 22:00:00
JQF,35.387777777778,-80.709166666667,82,2018-06-05 22:00:00
GEV,36.4325,-81.419722222222,72,2018-06-05 22:00:00
RBDS1,34.101111111111,-82.618055555556,78,2018-06-05 21:15:00
EQY,35.018888888889,-80.620277777778,81,2018-06-05 22:00:00
TYS,35.8125,-83.9927777777778,82,2018-06-05 22:00:00
JKL,37.6,-83.3166666666667,80,2018-06-05 22:00:00
CLT,35.214444444444,-80.943611111111,81,2018-06-05 22:00:00
BNA,36.116666666667,-86.7,85,2018-06-05 22:00:00
MCN,32.7,-83.65,83,2018-06-05 22:00:00
ATL,33.63,-84.441666666667,78,2018-06-05 22:00:00
CKV,36.536111111111,-87.365277777778,82,2018-06-05 22:00:00
AKH,35.2,-81.150555555556,82,2018-06-05 22:00:00
THA,35.38,-86.25,81,2018-06-05 22:00:00
HSV,34.6438888888889,-86.7688888888889,84,2018-06-05 22:00:00
FTY,33.7833333333333,-84.5277777777778,79,2018-06-05 22:00:00
TRI,36.475,-82.4075,80,2018-06-05 22:00:00
BWG,36.9644444444444,-86.4194444444444,83,2018-06-05 22:00:00
CEU,34.671944444444,-82.886666666667,78,2018-06-05 22:00:00
GMU,34.848055555556,-82.35,82,2018-06-05 22:00:00
GSP,34.898888888889,-82.213888888889,82,2018-06-05 22:00:00
GVL,34.2727777777778,-83.8266666666667,77,2018-06-05 22:00:00
